id	query	pmid	title	journal	year	source_url
pubmed_ui_42033241	PubMed PMID 42033241. An oral-gut microbial metabolite links Fusobacterium nucleatum to aggravated myocardial ischemia-reperfusion injury. BACKGROUND: Myocardial ischemia-reperfusion injury (MIRI) remains a major complication. Fusobacterium nucleatum (F. nucleatum), an oral pathobiont associated with cardiometabolic disease, may influence host physiology by reshaping gut microbial function through an oral-gut axis. Whether such microbial interactions contribute to MIRI remains unclear.	42033241	An oral-gut microbial metabolite links Fusobacterium nucleatum to aggravated myocardial ischemia-reperfusion injury.	Gut microbes	2026	https://pubmed.ncbi.nlm.nih.gov/42033241/
pubmed_ui_42246934	PubMed PMID 42246934. The cysteine metabolic regulation through CSE-transsulfuration pathway is essential in iron-induced oxidative damage of heart. OBJECTIVES: Iron overload (IO) cardiomyopathy is a major cause of mortality in patients with iron overload disorders. This study investigates the role of cystathionine -lyase (CSE), a key enzyme in the transsulfuration pathway for cysteine and hydrogen sulfide (H2S) production, in iron-induced oxidative cardiac injury. METHODS: We investigated the effects of CSE on oxidative stress, metabolic dysregulation, and cardiac remodeling using in vivo mouse models of chronic iron overload and in vitro ferric citrate (FAC)-treated cardiomyocytes.	42246934	The cysteine metabolic regulation through CSE-transsulfuration pathway is essential in iron-induced oxidative damage of heart.	Redox report : communications in free radical research	2026	https://pubmed.ncbi.nlm.nih.gov/42246934/
pubmed_ui_41810737	PubMed PMID 41810737. From safety to agency: experiences of self-admission among patients with diverse mental health needs. INTRODUCTION: Self-admission models allow patients to directly contact their psychiatric ward for brief inpatient care based on self-assessed need. To ensure equitable access across all psychiatric services, a broadly applicable, transdiagnostic model for self-admission was developed in Region Stockholm - Sweden's largest public healthcare provider.	41810737	From safety to agency: experiences of self-admission among patients with diverse mental health needs.	International journal of qualitative studies on health and well-being	2026	https://pubmed.ncbi.nlm.nih.gov/41810737/
pubmed_ui_42192510	PubMed PMID 42192510. IgA Vasculitis with necrotizing arteritis: a multicenter retrospective study from the French Vasculitis Study Group and systematic review of the literature. IgA vasculitis (IgAV) primarily affects small vessels, but rare cases with necrotizing arteritis (NA) raise questions about overlap with polyarteritis nodosa (PAN). To characterize IgAV with necrotizing arteritis (IgAV-NA) and compare its phenotype with classical IgAV and PAN. We performed a multicenter retrospective study combined with a systematic literature review (1990-2025).	42192510	IgA Vasculitis with necrotizing arteritis: a multicenter retrospective study from the French Vasculitis Study Group and systematic review of the literature.	Autoimmunity	2026	https://pubmed.ncbi.nlm.nih.gov/42192510/
pubmed_ui_42259351	PubMed PMID 42259351. Widespread circulation of Alongshan virus in Austria and serological evidence for infection in humans: a nationwide molecular and serological observational study. BACKGROUND: Alongshan virus, a segmented RNA virus in the Jingmenvirus group of flaviviruses, was first identified in 2017 in China in patients with tick-borne encephalitis-like illness. Alongshan virus has since been detected in ticks and mammals in several European countries. In this study, we aimed to characterise the temporal and geographical distribution of Alongshan virus in Austria through nationwide tick surveillance combined with serological and molecular screening in individuals with suspected tick-borne encephalitis or tick exposure.	42259351	Widespread circulation of Alongshan virus in Austria and serological evidence for infection in humans: a nationwide molecular and serological observational study.	The Lancet. Microbe	2027	https://pubmed.ncbi.nlm.nih.gov/42259351/
pubmed_ui_41930414	PubMed PMID 41930414. Temporal trends in second primary malignancies among long-term survivors of multiple myeloma across treatment eras: a population-based analysis of the SEER database. OBJECTIVE: To evaluate temporal trends in second primary malignancy (SPM) risk among long-term multiple myeloma (MM) survivors across treatment eras. METHODS: This retrospective cohort study utilized the SEER 17 registries database (1975-2022). Patients with MM as first primary malignancy surviving 5 years were stratified into four treatment eras: Era 1 (2000, pre-novel agents), Era 2 (2001-2010, proteasome inhibitor/IMiD introduction), Era 3 (2011-2015, new-generation IMiDs), and Era 4 (2016+, daratumumab era).	41930414	Temporal trends in second primary malignancies among long-term survivors of multiple myeloma across treatment eras: a population-based analysis of the SEER database.	Hematology (Amsterdam, Netherlands)	2026	https://pubmed.ncbi.nlm.nih.gov/41930414/
pubmed_ui_42127954	PubMed PMID 42127954. Persistent spread of carbapenemase-producing Klebsiella pneumoniae in acute care hospitals in 36 European countries (the CCRE survey): a prospective, multicentre, cross-sectional, epidemiological, microbiological, and genomic surveillance study. BACKGROUND: Carbapenem-resistant Enterobacterales pose a substantial threat to patients and health-care systems. We conducted a survey of carbapenem-resistant and/or colistin-resistant Enterobacterales (CCRE survey) in 37 European countries to describe their occurrence, geographical distribution, and population dynamics and inform control policies.	42127954	Persistent spread of carbapenemase-producing Klebsiella pneumoniae in acute care hospitals in 36 European countries (the CCRE survey): a prospective, multicentre, cross-sectional, epidemiological, microbiological, and genomic surveillance study.	The Lancet. Microbe	2027	https://pubmed.ncbi.nlm.nih.gov/42127954/
pubmed_ui_41864830	PubMed PMID 41864830. Beyond the ICU: family resilience and emotional turmoil after intensive care - a qualitative study. BACKGROUND: During the COVID-19 pandemic, visitation restrictions in ICUs intensified psychological distress among family members, yet the long-term impact of psychosocial support on family resilience remains poorly understood. OBJECTIVE: To evaluate the experiences of family members during the COVID-19 pandemic, focusing on interactions with healthcare professionals and well-being 18th months after hospitalisation.	41864830	Beyond the ICU: family resilience and emotional turmoil after intensive care - a qualitative study.	International journal of qualitative studies on health and well-being	2026	https://pubmed.ncbi.nlm.nih.gov/41864830/
pubmed_ui_42058263	PubMed PMID 42058263. Endoscopic Thrombin Injection for Gastric Variceal Bleeding: A Systematic Review and Meta-Analysis of Observational and Trial Data. OBJECTIVE: The safety of endoscopic thrombin injection (ETI) for treating the bleeding of gastric varix (GV) in patients with portal hypertension requires further evaluation. This meta-analysis systematically reviews the available evidence on the efficacy and safety of ETI for GV bleeding. METHODS: Two researchers independently screened and extracted data from all relevant original articles published from database inception to May 2025.	42058263	Endoscopic Thrombin Injection for Gastric Variceal Bleeding: A Systematic Review and Meta-Analysis of Observational and Trial Data.	DEN open	2027	https://pubmed.ncbi.nlm.nih.gov/42058263/
pubmed_ui_41932848	PubMed PMID 41932848. AI-assisted learning: ChatGPT for anamnesis in women's health education. UNLABELLED: Artificial intelligence (AI) tools such as ChatGPT are rapidly being adopted in medical education, yet evidence regarding their impact on learners' history-taking (anamnesis) skills remains limited. This gap is particularly relevant in women's health education, where high-quality anamnesis is essential for addressing sensitive, context-dependent concerns and for ensuring the safety of two interrelated patients: mother and fetus.	41932848	AI-assisted learning: ChatGPT for anamnesis in women's health education.	Medical education online	2026	https://pubmed.ncbi.nlm.nih.gov/41932848/
pubmed_ui_41792626	PubMed PMID 41792626. Current treatment for erectile dysfunction: an umbrella review of systematic reviews and meta-analyses. OBJECTIVE: This umbrella review aimed to summarize and provide a general evaluation of the effectiveness of current treatments for erectile dysfunction (ED) and assess the quality of evidence. METHODS: This umbrella review available in PubMed, Web of Science, the Cochrane Library, and Embase, covering studies published up to October 2025, was conducted.	41792626	Current treatment for erectile dysfunction: an umbrella review of systematic reviews and meta-analyses.	The aging male : the official journal of the International Society for the Study of the Aging Male	2026	https://pubmed.ncbi.nlm.nih.gov/41792626/
pubmed_ui_41588655	PubMed PMID 41588655. Aberrant expression of triggering receptor expressed on myeloid cell-1 is involved in the immunopathological mechanism of myasthenia gravis. Triggering receptor expressed on myeloid cells-1 (TREM-1) and TREM-2, cell surface receptors involved in innate and adaptive immunity, exist in soluble (sTREM-1 and sTREM-2) and membrane-bound forms, with the soluble form serve as biomarkers in many immune diseases. However, the role of TREM-1 and TREM-2 in myasthenia gravis (MG) remains unclear.	41588655	Aberrant expression of triggering receptor expressed on myeloid cell-1 is involved in the immunopathological mechanism of myasthenia gravis.	Autoimmunity	2026	https://pubmed.ncbi.nlm.nih.gov/41588655/
pubmed_ui_42140754	PubMed PMID 42140754. Five-year follow-up of the SABR-5 trial: primary toxicity analysis of stereotactic ablative radiotherapy for up to five oligometastases. BACKGROUND AND PURPOSE: SABR-5 was a provincially coordinated, single-arm phase II trial of SABR for patients with up to five extracranial metastases across all six BC Cancer centres. The primary objective was to prospectively quantify treatment-related toxicity in a population-based setting. This analysis reports extended follow-up and long-term toxicity outcomes.	42140754	Five-year follow-up of the SABR-5 trial: primary toxicity analysis of stereotactic ablative radiotherapy for up to five oligometastases.	Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology	2027	https://pubmed.ncbi.nlm.nih.gov/42140754/
pubmed_ui_41667397	PubMed PMID 41667397. Pre-existing -lactamase gene diversity is associated with lower risk of ESBL-producing Enterobacterales colonization in patients exposed to ceftriaxone. Exposure to broad-spectrum antibiotics, particularly to third-generation cephalosporins (3GC), increases the risk of colonization by extended-spectrum beta-lactamase-producing Enterobacterales (ESBL-E). While clinical risk factors for ESBL-E acquisition are well established, the role of the gut microbiome and resistome remains unclear.	41667397	Pre-existing -lactamase gene diversity is associated with lower risk of ESBL-producing Enterobacterales colonization in patients exposed to ceftriaxone.	Gut microbes	2026	https://pubmed.ncbi.nlm.nih.gov/41667397/
pubmed_ui_42023591	PubMed PMID 42023591. Gut microbiota reshapes host energy metabolism to modulate depressive behaviors. Disturbances in energy metabolism are a key pathophysiological feature of major depressive disorder (MDD). The gut microbiota, as a critical regulator of host metabolism, may influence systemic energy homeostasis and contribute to depression. To investigate this, we performed a multi-omics analysis integrating targeted metabolomics and shotgun metagenomics on samples from 100 MDD patients and 68 healthy controls.	42023591	Gut microbiota reshapes host energy metabolism to modulate depressive behaviors.	Gut microbes	2026	https://pubmed.ncbi.nlm.nih.gov/42023591/
