id	cui	judgment	target	weight	source	label	query	why
paragraph_100	C0024480	expected	3	3	paragraph_expected		A pregnant patient at 34 weeks had severe range blood pressure, headache, and proteinuria consistent with preeclampsia. Magnesium sulfate and labetalol were given before delivery planning.	Obstetric hypertension paragraph should retrieve preeclampsia, proteinuria, magnesium sulfate, and labetalol.
paragraph_100	C0032914	expected	3	3	paragraph_expected		A pregnant patient at 34 weeks had severe range blood pressure, headache, and proteinuria consistent with preeclampsia. Magnesium sulfate and labetalol were given before delivery planning.	Obstetric hypertension paragraph should retrieve preeclampsia, proteinuria, magnesium sulfate, and labetalol.
paragraph_100	C0033687	expected	3	3	paragraph_expected		A pregnant patient at 34 weeks had severe range blood pressure, headache, and proteinuria consistent with preeclampsia. Magnesium sulfate and labetalol were given before delivery planning.	Obstetric hypertension paragraph should retrieve preeclampsia, proteinuria, magnesium sulfate, and labetalol.
paragraph_101	C0014118	useful_extra	1	1.5	useful_extra_config	Endocarditis		Base endocarditis concept is useful beside infective endocarditis.
paragraph_101	C0038172	expected	3	3	paragraph_expected		Blood cultures grew Staphylococcus aureus, and transesophageal echocardiography showed a mitral valve vegetation consistent with infective endocarditis. Vancomycin was continued pending susceptibilities.	Endocarditis paragraph should retrieve infective endocarditis, Staphylococcus aureus, transesophageal echocardiography, vegetation, and vancomycin.
paragraph_101	C0042313	expected	3	3	paragraph_expected		Blood cultures grew Staphylococcus aureus, and transesophageal echocardiography showed a mitral valve vegetation consistent with infective endocarditis. Vancomycin was continued pending susceptibilities.	Endocarditis paragraph should retrieve infective endocarditis, Staphylococcus aureus, transesophageal echocardiography, vegetation, and vancomycin.
paragraph_101	C0206054	expected	3	3	paragraph_expected		Blood cultures grew Staphylococcus aureus, and transesophageal echocardiography showed a mitral valve vegetation consistent with infective endocarditis. Vancomycin was continued pending susceptibilities.	Endocarditis paragraph should retrieve infective endocarditis, Staphylococcus aureus, transesophageal echocardiography, vegetation, and vancomycin.
paragraph_101	C1285498	expected	3	3	paragraph_expected		Blood cultures grew Staphylococcus aureus, and transesophageal echocardiography showed a mitral valve vegetation consistent with infective endocarditis. Vancomycin was continued pending susceptibilities.	Endocarditis paragraph should retrieve infective endocarditis, Staphylococcus aureus, transesophageal echocardiography, vegetation, and vancomycin.
paragraph_101	C1318973	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Staphylococcus aureus infection		Explicit organism/infection concept in infective endocarditis paragraph.
paragraph_101	C1541923	expected	3	3	paragraph_expected		Blood cultures grew Staphylococcus aureus, and transesophageal echocardiography showed a mitral valve vegetation consistent with infective endocarditis. Vancomycin was continued pending susceptibilities.	Endocarditis paragraph should retrieve infective endocarditis, Staphylococcus aureus, transesophageal echocardiography, vegetation, and vancomycin.
paragraph_102	C0035608	expected	3	3	paragraph_expected		Orthopedics aspirated a painful knee arthroplasty. Synovial culture grew Staphylococcus epidermidis consistent with prosthetic joint infection, and vancomycin plus rifampin was started.	Prosthetic joint infection paragraph should retrieve prosthetic joint infection, joint aspiration, Staphylococcus epidermidis, vancomycin, and rifampin.
paragraph_102	C0038174	expected	3	3	paragraph_expected		Orthopedics aspirated a painful knee arthroplasty. Synovial culture grew Staphylococcus epidermidis consistent with prosthetic joint infection, and vancomycin plus rifampin was started.	Prosthetic joint infection paragraph should retrieve prosthetic joint infection, joint aspiration, Staphylococcus epidermidis, vancomycin, and rifampin.
paragraph_102	C0042313	expected	3	3	paragraph_expected		Orthopedics aspirated a painful knee arthroplasty. Synovial culture grew Staphylococcus epidermidis consistent with prosthetic joint infection, and vancomycin plus rifampin was started.	Prosthetic joint infection paragraph should retrieve prosthetic joint infection, joint aspiration, Staphylococcus epidermidis, vancomycin, and rifampin.
paragraph_102	C0086511	useful_extra	1	1.5	useful_extra_config	Knee Replacement Arthroplasty		Relevant prior procedure/device context in prosthetic joint infection paragraph.
paragraph_102	C0157749	useful_extra	1	1.5	useful_extra_config | precision_audit_review	Arthropathy associated with infection		Explicit joint infection concept in prosthetic joint infection paragraph.
paragraph_102	C0204854	expected	3	3	paragraph_expected		Orthopedics aspirated a painful knee arthroplasty. Synovial culture grew Staphylococcus epidermidis consistent with prosthetic joint infection, and vancomycin plus rifampin was started.	Prosthetic joint infection paragraph should retrieve prosthetic joint infection, joint aspiration, Staphylococcus epidermidis, vancomycin, and rifampin.
paragraph_102	C0231749	useful_extra	1	1.5	useful_extra_config	Knee pain		Explicit symptom in prosthetic joint infection paragraph.
paragraph_102	C0410808	expected	3	3	paragraph_expected		Orthopedics aspirated a painful knee arthroplasty. Synovial culture grew Staphylococcus epidermidis consistent with prosthetic joint infection, and vancomycin plus rifampin was started.	Prosthetic joint infection paragraph should retrieve prosthetic joint infection, joint aspiration, Staphylococcus epidermidis, vancomycin, and rifampin.
paragraph_103	C0014591	expected	3	3	paragraph_expected		Warfarin clinic noted supratherapeutic INR with epistaxis. Vitamin K was administered, warfarin was held, and repeat INR testing was scheduled.	Anticoagulation safety paragraph should retrieve supratherapeutic INR, INR, warfarin, vitamin K, and epistaxis.
paragraph_103	C0042878	expected	3	3	paragraph_expected		Warfarin clinic noted supratherapeutic INR with epistaxis. Vitamin K was administered, warfarin was held, and repeat INR testing was scheduled.	Anticoagulation safety paragraph should retrieve supratherapeutic INR, INR, warfarin, vitamin K, and epistaxis.
paragraph_103	C0043031	expected	3	3	paragraph_expected		Warfarin clinic noted supratherapeutic INR with epistaxis. Vitamin K was administered, warfarin was held, and repeat INR testing was scheduled.	Anticoagulation safety paragraph should retrieve supratherapeutic INR, INR, warfarin, vitamin K, and epistaxis.
paragraph_103	C0525032	expected	3	3	paragraph_expected		Warfarin clinic noted supratherapeutic INR with epistaxis. Vitamin K was administered, warfarin was held, and repeat INR testing was scheduled.	Anticoagulation safety paragraph should retrieve supratherapeutic INR, INR, warfarin, vitamin K, and epistaxis.
paragraph_103	C4049341	expected	3	3	paragraph_expected		Warfarin clinic noted supratherapeutic INR with epistaxis. Vitamin K was administered, warfarin was held, and repeat INR testing was scheduled.	Anticoagulation safety paragraph should retrieve supratherapeutic INR, INR, warfarin, vitamin K, and epistaxis.
paragraph_104	C0009506	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_104	C0018965	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_104	C0024143	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_104	C0032952	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_104	C0033687	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_104	C0883242	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_104	C0919679	expected	3	3	paragraph_expected		A young woman with lupus nephritis had hematuria, proteinuria, low complement C3, and positive double stranded DNA antibody. Mycophenolate and prednisone were started after renal biopsy.	Lupus nephritis paragraph should retrieve lupus nephritis, hematuria, proteinuria, complement C3, double stranded DNA antibody, mycophenolate, and prednisone.
paragraph_105	C0020268	expected	3	3	paragraph_expected		Patient with adrenal crisis had hypotension and hyponatremia. Cortisol was low after cosyntropin stimulation testing, and stress dose hydrocortisone was given.	Adrenal crisis paragraph should retrieve adrenal crisis, hypotension, hyponatremia, and cortisol/hydrocortisone.
paragraph_105	C0020625	expected	3	3	paragraph_expected		Patient with adrenal crisis had hypotension and hyponatremia. Cortisol was low after cosyntropin stimulation testing, and stress dose hydrocortisone was given.	Adrenal crisis paragraph should retrieve adrenal crisis, hypotension, hyponatremia, and cortisol/hydrocortisone.
paragraph_105	C0020649	expected	3	3	paragraph_expected		Patient with adrenal crisis had hypotension and hyponatremia. Cortisol was low after cosyntropin stimulation testing, and stress dose hydrocortisone was given.	Adrenal crisis paragraph should retrieve adrenal crisis, hypotension, hyponatremia, and cortisol/hydrocortisone.
paragraph_105	C0151467	expected	3	3	paragraph_expected		Patient with adrenal crisis had hypotension and hyponatremia. Cortisol was low after cosyntropin stimulation testing, and stress dose hydrocortisone was given.	Adrenal crisis paragraph should retrieve adrenal crisis, hypotension, hyponatremia, and cortisol/hydrocortisone.
paragraph_106	C0027617	expected	3	3	paragraph_expected		Newborn screening was positive for phenylketonuria with elevated phenylalanine. Dietary phenylalanine restriction was started, and sapropterin was discussed with genetics.	Metabolic genetics paragraph should retrieve newborn screening, phenylketonuria, phenylalanine, and sapropterin.
paragraph_106	C0031453	expected	3	3	paragraph_expected		Newborn screening was positive for phenylketonuria with elevated phenylalanine. Dietary phenylalanine restriction was started, and sapropterin was discussed with genetics.	Metabolic genetics paragraph should retrieve newborn screening, phenylketonuria, phenylalanine, and sapropterin.
paragraph_106	C0031485	expected	3	3	paragraph_expected		Newborn screening was positive for phenylketonuria with elevated phenylalanine. Dietary phenylalanine restriction was started, and sapropterin was discussed with genetics.	Metabolic genetics paragraph should retrieve newborn screening, phenylketonuria, phenylalanine, and sapropterin.
paragraph_106	C0048897	expected	3	3	paragraph_expected		Newborn screening was positive for phenylketonuria with elevated phenylalanine. Dietary phenylalanine restriction was started, and sapropterin was discussed with genetics.	Metabolic genetics paragraph should retrieve newborn screening, phenylketonuria, phenylalanine, and sapropterin.
paragraph_107	C0009319	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_107	C0009378	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_107	C0011991	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_107	C0032952	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_107	C3658706	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_107	C4684977	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_107	C4761223	expected	3	3	paragraph_expected		A patient receiving pembrolizumab developed immune-mediated colitis with watery diarrhea. Colonoscopy showed colitis, prednisone was started, and the immune checkpoint inhibitor was held.	Immunotherapy toxicity paragraph should retrieve pembrolizumab, immune-mediated colitis, diarrhea, colonoscopy, colitis, prednisone, and immune checkpoint inhibitor.
paragraph_108	C0006290	expected	3	3	paragraph_expected		Pulmonology evaluated sarcoidosis after chest imaging showed hilar lymphadenopathy. Bronchoscopy with biopsy found noncaseating granulomas, and prednisone was prescribed for worsening cough.	Sarcoidosis paragraph should retrieve sarcoidosis, hilar lymphadenopathy, bronchoscopy, prednisone, and cough.
